name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,winrate,winrate,winrate,usage,usage,usage,victory
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,77.08,66.67,71.26,2.96,1.07,3.17,0
030,#QU0C0CQJ,19967,18535,3313,136860,word,#Q2PJCVYL,18100,16513,11952,195924,村長⊿,#2LPJYG8U2,20165,19570,6499,140896,67.57,66.33,79.69,4.0,3.52,2.72,1
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,79.79,74.18,66.1,2.0,3.6,1.04,0
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,79.69,78.57,4.0,2.72,1.47,1
초보1239,#C2LVRL8U,12117,12101,2306,52767,Youtube 니타나다,#9JJYP02L,18018,17739,2877,70915,CUT,#QCP0P2CQ,19380,17902,6561,163495,69.33,73.53,78.95,1.39,1.33,1.2,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,66.33,78.57,4.0,3.52,1.47,1
€uRo |チョコボ♪,#20JGGPV98,25369,22472,17624,284975,ぷー。,#9U2QJ0P,25238,19438,14368,236990,ᴍ꙼̈ᴇᴄ ♡⃛ Ham ♡⃛,#2YUPVG0G0,23262,20349,14140,242140,67.57,74.85,77.08,4.0,3.25,2.96,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.84,78.95,69.33,3.09,1.2,1.39,1
ILMARE里歐,#PCRPGJVC,19177,18101,8933,201149,뮤직,#V9U8L20V,17737,16719,4592,134435,kaito,#L9UQ2L9,9608,9360,5728,87235,66.33,78.57,67.57,3.52,1.47,4.0,0
hiro,#8J0Y0G2L,20662,18605,4922,75329,༺紅鶯_❀,#80YQPCRC2,18546,18239,3003,98509,mo,#R2P9JQ0V,15275,14985,2085,72955,74.84,68.82,69.33,3.09,1.7,1.39,1
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,67.57,66.33,78.57,4.0,3.52,1.47,0
ℵøęł®ゆーり。,#VRYQUPVC,18535,18535,6629,157612,あかつき,#2U9CUQP0,27407,27407,26468,286240,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,66.33,67.57,78.57,3.52,4.0,1.47,1
ANaruMax☺︎,#CGRVVVRJ,22403,21287,9341,207473,ぽーーすけ☺︎,#2VJV2U0,21560,20335,10049,163339,SHiNo‪‪☺︎‬￤しののん,#2LV08GGVV,20691,18887,9869,205732,66.1,68.82,74.85,1.04,1.7,3.25,0
